app_id	category1	category2	category3	category4	category5
com.whatsapp	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Computers & Electronics/Software/Business & Productivity Software	/Business & Industrial/Energy & Utilities/Oil & Gas	/Food & Drink/Restaurants
com.google.android.youtube	/Arts & Entertainment/TV & Video/Online Video	/Online Communities/Photo & Video Sharing/Video Sharing	/Games/Board Games	/Games/Computer & Video Games/Sports Games/Sports Management Games	/Internet & Telecom/Mobile & Wireless
com.instagram.android	/Finance/Investing	/Computers & Electronics/Software/Multimedia Software	/Online Communities/Social Networks	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Science/Earth Sciences/Geology
com.facebook.katana	/Computers & Electronics/Electronics & Electrical/Power Supplies	/Online Communities/Social Networks	/Arts & Entertainment/TV & Video/Online Video/Live Video Streaming	/Business & Industrial/Shipping & Logistics/Mail & Package Delivery/Couriers, Messengers & Home Delivery Services	/Games/Computer & Video Games/Simulation Games/City Building Games
com.dts.freefireth	/Internet & Telecom/Service Providers/Phone Service Providers	/Computers & Electronics/Consumer Electronics/Audio Equipment/Speakers	/Sports/Team Sports/Basketball	/People & Society/Family & Relationships/Family/Ancestry & Genealogy	/Sports/Sport Scores & Statistics
com.facebook.orca	/Internet & Telecom/Email & Messaging	/Online Communities/Social Networks	/Games/Word Games	/Arts & Entertainment/Visual Art & Design	/Books & Literature/Writers Resources
com.supercell.clashofclans	/Games/Computer & Video Games/Strategy Games	/Beauty & Fitness/Fitness/Gyms & Health Clubs	/News/Business News/Financial Markets News	/News	/News/Business News
com.zhiliaoapp.musically	/Games/Computer & Video Games/Sports Games	/Games/Computer & Video Games	/Online Communities/Virtual Worlds	/Finance/Investing/Currencies & Foreign Exchange	/Online Communities/Photo & Video Sharing/Video Sharing
com.cleanmaster.mguard	/Computers & Electronics/Software/Software Utilities	/Arts & Entertainment/TV & Video/TV Networks & Stations	/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance	/Jobs & Education/Education/Training & Certification	/Games/Board Games
com.google.android.apps.photos	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Online Communities/Feed Aggregation & Social Bookmarking	/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners	/Food & Drink/Restaurants/Fast Food	/Internet & Telecom/Web Services/Cloud Storage
com.tencent.ig	/Food & Drink/Food & Grocery Retailers/Convenience Stores	/News/Business News	/Finance/Accounting & Auditing/Billing & Invoicing	/Games/Computer & Video Games/Simulation Games/Vehicle Simulators	/Shopping/Apparel/Clothing Accessories/Watches
com.google.android.gms	/Computers & Electronics/Software/Software Utilities	/Sports/Sporting Goods	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety	/Computers & Electronics/Computer Hardware/Computer Drives & Storage/Data Backup & Recovery	/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits
com.android.chrome	/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers	/Computers & Electronics/Software/Internet Software/Web Browsers	/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits	/Internet & Telecom/Service Providers/Cable & Satellite Providers	/Computers & Electronics/Consumer Electronics/Media Streaming Devices
com.kiloo.subwaysurf	/Computers & Electronics/Software/Multimedia Software/Graphics & Animation Software	/Arts & Entertainment/Events & Listings/Event Ticket Sales	/Arts & Entertainment/Music & Audio/Radio	/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/New Year	/Games/Computer & Video Games/Action & Platform Games
com.supercell.clashroyale	/Games/Computer & Video Games/Strategy Games	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration/Driving Instruction & Driver Education	/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers	/Finance/Credit & Lending/Credit Cards	/Business & Industrial/Business Services/E-Commerce Services/Merchant Services & Payment Systems
com.king.candycrushsaga	/People & Society/Family & Relationships/Family/Ancestry & Genealogy	/Reference/General Reference/Calculators & Reference Tools	/Food & Drink/Restaurants/Restaurant Reviews & Reservations	/Computers & Electronics/Programming/C & C++	/Games/Computer & Video Games/Casual Games
com.mobile.legends	/Games/Computer & Video Games/Strategy Games	/Finance/Investing/Commodities & Futures Trading	/People & Society/Family & Relationships/Family/Ancestry & Genealogy	/Books & Literature/Writers Resources	/Computers & Electronics/Networking/Network Monitoring & Management
com.snapchat.android	/Sports/Team Sports	/Online Communities/Social Networks	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Pets & Animals/Pets/Cats	/Computers & Electronics/Programming
com.flipkart.android	/Arts & Entertainment/Music & Audio/Music Equipment & Technology	/Sports/Individual Sports/Golf	/Shopping/Shopping Portals	/Business & Industrial/Shipping & Logistics/Mail & Package Delivery/Couriers, Messengers & Home Delivery Services	/Internet & Telecom/Web Services/Cloud Storage
com.roblox.client	/Internet & Telecom/Web Services/Web Design & Development	/Games/Computer & Video Games/Sandbox Games	/Reference/Geographic Reference/Maps	/Beauty & Fitness/Beauty Services & Spas/Massage Therapy	/Business & Industrial/Business Operations/Human Resources
com.cleanmaster.security	/Computers & Electronics/Software/Software Utilities	/Computers & Electronics/Electronics & Electrical/Electrical Test & Measurement	/Games/Computer & Video Games/Simulation Games/City Building Games	/Books & Literature/Writers Resources	/Games/Computer & Video Games/Video Game Emulation
com.spotify.music	/Arts & Entertainment/Music & Audio/Music Videos	/Internet & Telecom	/Business & Industrial/Shipping & Logistics	/Computers & Electronics/Networking/Network Monitoring & Management	/Arts & Entertainment/Music & Audio/Music Streams & Downloads
com.miniclip.eightballpool	/Games/Computer & Video Games/Sports Games	/Games/Table Games/Billiards	/Business & Industrial	/Internet & Telecom	/Food & Drink/Cooking & Recipes
com.google.android.googlequicksearchbox	/Arts & Entertainment/TV & Video/TV Guides & Reference	/Internet & Telecom/Search Engines	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Business & Industrial/Energy & Utilities/Oil & Gas	/Hobbies & Leisure/Crafts
com.UCMobile.intl	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety	/Business & Industrial	/Reference/Directories & Listings	/Computers & Electronics/Software/Internet Software/Web Browsers	/Arts & Entertainment/Events & Listings/Concerts & Music Festivals
com.supercell.brawlstars	/Autos & Vehicles	/Online Communities/Online Goodies/Social Network Apps & Add-Ons	/Internet & Telecom/Web Services/Cloud Storage	/Food & Drink/Restaurants/Fast Food/Burgers	/Games/Computer & Video Games/Action & Platform Games
com.facebook.lite	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software	/Travel & Transportation/Transportation/Traffic & Route Planners	/Online Communities/Online Goodies/Social Network Apps & Add-Ons	/Online Communities/Social Networks	/Real Estate/Real Estate Listings
com.twitter.android	/Sports/Team Sports/American Football	/Online Communities/Blogging Resources & Services/Microblogging	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety	/People & Society/Religion & Belief/Mindfulness & Meditation	/Online Communities/Social Networks
com.jio.myjio	/Internet & Telecom/Service Providers/Phone Service Providers	/Shopping/Auctions	/Games/Computer & Video Games/Strategy Games	/Reference/General Reference/Dictionaries & Encyclopedias	/Finance/Accounting & Auditing/Bookkeeping
com.outfit7.mytalkingtomfree	/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Guitars	/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal	/Reference/General Reference/Calculators & Reference Tools	/Arts & Entertainment/Humor/Funny Pictures & Videos	/Games/Computer & Video Games/Casual Games
com.truecaller	/Computers & Electronics/Software/Software Utilities	/Internet & Telecom/Service Providers/ISPs	/Internet & Telecom	/Home & Garden/Domestic Services/Cleaning Services	/Reference/General Reference/Educational Resources
com.lenovo.anyshare.gps	/Online Communities/File Sharing & Hosting	/Finance/Investing/Brokerages & Day Trading	/People & Society/Religion & Belief/Mindfulness & Meditation	/Jobs & Education/Education/Teaching & Classroom Resources	/Arts & Entertainment/Comics & Animation/Comics
