topicID	name
1013	/Autos & Vehicles/Classic Vehicles
89	/Autos & Vehicles/Vehicle Parts & Accessories
69	/Shopping/Consumer Resources
512	/Sports/Wrestling
1376	/Sports/Tennis
612	/Arts & Entertainment/Entertainment Industry
1692	/Autos & Vehicles/Motor Vehicles (By Type)/Hatchbacks
1299	/Science/Machine Learning & Artificial Intelligence
1317	/Autos & Vehicles/Motor Vehicles (By Type)/Microcars & Subcompacts
211	/Arts & Entertainment/Online Video
1852	/Travel & Transportation/Business Travel
1689	/Autos & Vehicles/Motor Vehicles (By Type)/Convertibles
1016	/Sports/Bowling
1037	/Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies
1142	/Internet & Telecom/Web Apps & Online Tools
1110	/Arts & Entertainment/TV Shows & Programs/TV Family-Oriented Shows
1160	/Business & Industrial/Commercial Lending
462	/Hobbies & Leisure/Outdoors/Fishing
309	/Computers & Electronics/Desktop Computers
13	/Internet & Telecom
541	/Sports/Running & Walking
206	/Travel & Transportation/Cruises & Charters
261	/Sports/Golf
811	/Finance/Credit Cards
1096	/Arts & Entertainment/Movies/Thriller, Crime & Mystery Films
959	/Jobs & Education/Jobs/Career Resources & Planning
1081	/Real Estate/Timeshares & Vacation Properties
1230	/Hobbies & Leisure/Fiber & Textile Arts
1683	/Sports/Extreme Sports/Climbing & Mountaineering
1039	/Arts & Entertainment/Music & Audio/Soul & R&B
814	/Finance/Investing/Currencies & Foreign Exchange
310	/Computers & Electronics/Laptops & Notebooks
271	/Home & Garden/Home Appliances
1838	/Internet & Telecom/Email
813	/Finance/Student Loans & College Financing
75	/Law & Government/Legal
1594	/Sports/Swimming
1164	/News/Economy News
304	/Computers & Electronics/Software/Web Browsers
1436	/Finance/Personal Loans
318	/Arts & Entertainment/Comics
392	/Internet & Telecom/Teleconferencing
458	/Sports/Cycling
303	/Computers & Electronics/Software/Operating Systems
1291	/Arts & Entertainment/Movies/Family Films
676	/People & Society/Science Fiction & Fantasy
1011	/Travel & Transportation/Travel Guides & Travelogues
1057	/Autos & Vehicles/Motor Vehicles (By Type)/SUVs & Crossovers
515	/Sports/Boxing
1186	/Arts & Entertainment/Music & Audio/Talk Radio
1007	/Travel & Transportation/Tourist Destinations/Regional Parks & Gardens
699	/Sports/Volleyball
461	/Hobbies & Leisure/Outdoors/Hunting & Shooting
1049	/Arts & Entertainment/TV Shows & Programs/TV Reality Shows
581	/Arts & Entertainment/Dance
440	/Science/Biological Sciences
66	/Pets & Animals
803	/Autos & Vehicles/Vehicle Shows
1798	/Games/Computer & Video Games/Competitive Video Gaming
1104	/Arts & Entertainment/Movies/Animated Films
1915	/People & Society/Family & Relationships/Parenting/Child Internet Safety
786	/Hobbies & Leisure/Paintball
1379	/Internet & Telecom/Text & Instant Messaging
904	/Finance/Investing/Commodities & Futures Trading
1684	/Autos & Vehicles/Motor Vehicles (By Type)
939	/Games/Billiards
16	/News
1808	/Beauty & Fitness/Face & Body Care/Antiperspirants, Deodorants & Body Sprays
662	/Business & Industrial/Aviation Industry
46	/Business & Industrial/Agriculture & Forestry
891	/Arts & Entertainment/Concerts & Music Festivals
1814	/Beauty & Fitness/Face & Body Care/Razors & Shavers
708	/Travel & Transportation/Long Distance Bus & Rail
1349	/Business & Industrial/Energy & Utilities/Water Supply & Treatment
1215	/Autos & Vehicles/Cargo Trucks & Trailers
1596	/Sports/Motorcycle Racing
1273	/Arts & Entertainment/Live Sporting Events
992	/Shopping/Men's Clothing
444	/Science/Physics
1690	/Autos & Vehicles/Motor Vehicles (By Type)/Coupes
1693	/Autos & Vehicles/Motor Vehicles (By Type)/Luxury Vehicles
1141	/Science/Robotics
148	/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles
1089	/Computers & Electronics/Software/Audio & Music Software
1133	/People & Society/Family & Relationships/Marriage
384	/Internet & Telecom/Phone Service Providers
586	/Arts & Entertainment/Music & Audio/Classical Music
485	/Internet & Telecom/Search Engines
911	/Food & Drink/Cooking & Recipes/Cuisines
55	/Online Communities/Dating & Personals
1038	/Arts & Entertainment/Music & Audio/Rock Music/Indie & Alternative Music
621	/Business & Industrial/Agriculture & Forestry/Food Production
1241	/News/Mergers & Acquisitions
299	/Online Communities
443	/Science/Geology
563	/Pets & Animals/Pets
439	/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts
1131	/People & Society/Family & Relationships
588	/Arts & Entertainment/Music & Audio/Dance & Electronic Music
191	/Online Communities/Forum & Chat Providers
1289	/Jobs & Education/Education/Academic Conferences & Publications
615	/Arts & Entertainment/Movies/Horror Films
1157	/Computers & Electronics/Consumer Electronics/Home Theater Systems
841	/Business & Industrial/Retail Trade
516	/Sports/Martial Arts
1305	/Hobbies & Leisure/Diving & Underwater Activities
1095	/Arts & Entertainment/Movies/Comedy Films
1030	/Arts & Entertainment/Music & Audio/Rap & Hip-Hop
20	/Sports
651	/Business & Industrial/Construction & Maintenance/Civil Engineering
278	/Finance/Accounting & Auditing
216	/Arts & Entertainment/Music & Audio/Musical Instruments
