app_id	category1	category2	category3	category4	category5
com.whatsapp	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Beauty & Fitness/Fitness/Yoga & Pilates	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Games/Computer & Video Games/Simulation Games	/Online Communities/Social Networks
com.google.android.youtube	/Finance/Insurance	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Arts & Entertainment/TV & Video/Online Video	/Online Communities/Photo & Video Sharing/Video Sharing	/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/iOS Apps
com.instagram.android	/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers	/Jobs & Education/Education	/Online Communities/Social Networks	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Internet & Telecom/Service Providers/Cable & Satellite Providers
com.facebook.katana	/Games/Computer & Video Games/Music & Dance Games	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software	/Online Communities/Social Networks	/Arts & Entertainment/Comics & Animation/Comics	/Computers & Electronics/Networking/VPN & Remote Access
com.dts.freefireth	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Games/Computer & Video Games/Shooter Games	/Games/Computer & Video Games/Strategy Games	/Reference/General Reference/Dictionaries & Encyclopedias	/Health/Health Conditions/Infectious Diseases
com.facebook.orca	/Internet & Telecom/Email & Messaging	/Online Communities/Social Networks	/Arts & Entertainment/TV & Video/Online Video/Live Video Streaming	/Health/Health Conditions/Infectious Diseases	/Games/Computer & Video Games/Gaming Reference & Reviews/Video Game Cheats & Hints
com.supercell.clashofclans	/Games/Computer & Video Games/Strategy Games	/Computers & Electronics/Networking	/Business & Industrial/Shipping & Logistics/Mail & Package Delivery/Couriers, Messengers & Home Delivery Services	/Computers & Electronics/Consumer Electronics/Home Automation	/Arts & Entertainment/Comics & Animation/Comics
com.zhiliaoapp.musically	/Computers & Electronics/Software/Intelligent Personal Assistants	/Games/Puzzles & Brainteasers	/Online Communities/Photo & Video Sharing/Video Sharing	/Real Estate/Real Estate Listings/Residential Rentals	/Internet & Telecom/Service Providers
com.cleanmaster.mguard	/Computers & Electronics/Software/Software Utilities	/News	/Shopping	/Computers & Electronics/Computer Security/Antivirus & Malware	/Computers & Electronics/Software/Business & Productivity Software/Accounting & Financial Software
com.google.android.apps.photos	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Games/Computer & Video Games/Simulation Games/City Building Games	/Science/Biological Sciences/Flora & Fauna	/Internet & Telecom/Web Services/Cloud Storage
com.tencent.ig	/Games/Computer & Video Games/Shooter Games	/Sports/Team Sports/Soccer	/Health	/Finance/Investing/Currencies & Foreign Exchange	/Games/Word Games
com.google.android.gms	/Computers & Electronics/Software/Software Utilities	/Health/Medical Facilities & Services	/Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Sony PlayStation	/Online Communities/Dating & Personals	/Travel & Transportation/Transportation/Urban Transit
